Micros,AcX, AcY, AcZ, GyX, GyY, GyZ
3077396,1368,-16692,-600,-2151,1967,2219
3085198,1416,-16644,-600,-3702,5738,10253
3129992,1416,-16600,-676,-244,283,-84
3170615,1404,-16660,-784,-259,268,-125
3212280,1384,-16644,-668,-257,295,-105
3253945,1368,-16632,-812,-240,303,-102
3295610,1408,-16560,-652,-235,305,-98
3336233,1484,-16664,-520,-277,298,-83
3376857,1324,-16604,-544,-252,299,-113
3418522,1408,-16664,-756,-229,298,-108
3460187,1288,-16704,-624,-252,297,-90
3500810,1484,-16724,-628,-252,295,-88
3541434,1376,-16632,-544,-245,315,-84
3582064,1332,-16572,-684,-224,288,-95
3622680,1468,-16668,-720,-257,298,-81
3663304,1356,-16536,-732,-251,297,-97
3703927,1476,-16636,-612,-252,279,-115
3745592,1336,-16616,-656,-247,329,-103
3787257,1404,-16560,-764,-283,285,-84
3827880,1448,-16684,-668,-242,303,-96
3868504,1408,-16664,-672,-267,314,-110
3910169,1444,-16708,-600,-251,304,-116
3951834,1356,-16668,-588,-230,303,-74
3992464,1328,-16648,-704,-268,314,-102
4034129,1332,-16672,-544,-255,320,-96
4074746,1324,-16696,-756,-242,299,-99
4115369,1436,-16704,-684,-248,299,-107
4157034,1456,-16740,-572,-250,311,-87
4197657,1308,-16564,-596,-255,300,-98
4238281,1456,-16616,-532,-244,296,-81
4278904,1464,-16608,-712,-257,303,-107
4320569,1512,-16604,-540,-274,310,-95
4361193,1400,-16672,-592,-247,314,-88
4401837,1360,-16668,-624,-267,290,-112
4443488,1344,-16660,-612,-247,294,-101
4485153,1356,-16648,-668,-238,319,-71
4525769,1408,-16576,-600,-256,295,-105
4567434,1468,-16744,-660,-252,290,-113
4609099,1392,-16708,-508,-277,313,-86
4649723,1412,-16568,-684,-222,321,-96
4690346,1264,-16652,-712,-261,279,-104
4732011,1408,-16688,-596,-236,328,-79
4772634,1356,-16624,-724,-264,319,-93
4813258,1340,-16668,-680,-241,316,-121
4854923,1412,-16692,-712,-284,298,-113
4896588,1416,-16572,-596,-227,305,-87
4937218,1384,-16612,-612,-233,281,-105
4978897,1448,-16664,-640,-243,290,-94
