Micros,AcX, AcY, AcZ, GyX, GyY, GyZ
5019500,1376,-16612,-620,-227,323,-110
5061165,1428,-16664,-612,-272,303,-99
5101788,1456,-16544,-588,-263,306,-93
5142411,1364,-16724,-548,-239,295,-104
5184076,1564,-16632,-640,-238,277,-77
5224700,1368,-16692,-480,-235,306,-103
5266365,1388,-16736,-528,-260,318,-128
5308030,1508,-16520,-612,-264,304,-76
5348653,1400,-16724,-588,-239,304,-107
5390318,1408,-16628,-604,-239,290,-91
5430948,1392,-16656,-616,-256,289,-96
5471565,1448,-16672,-624,-247,302,-89
5512188,1388,-16700,-684,-254,293,-77
5552811,1452,-16664,-800,-250,312,-64
5593435,1364,-16616,-612,-243,327,-92
5634058,1428,-16592,-500,-251,306,-128
5675723,1360,-16600,-552,-248,303,-92
5716346,1376,-16576,-692,-244,306,-82
5756977,1484,-16624,-672,-251,308,-108
5798668,1304,-16804,-652,-248,276,-126
5840307,1328,-16636,-648,-242,302,-83
5880924,1364,-16648,-492,-220,299,-63
5921547,1540,-16652,-504,-252,287,-75
5962170,1408,-16660,-624,-247,290,-93
6002794,1396,-16636,-620,-267,289,-90
6043417,1468,-16604,-612,-271,279,-112
6085082,1336,-16728,-540,-242,301,-115
6126747,1388,-16552,-612,-241,343,-94
6167370,1388,-16764,-676,-246,293,-103
6209035,1360,-16608,-576,-255,276,-102
6250700,1304,-16652,-680,-260,309,-99
6291331,1364,-16612,-640,-240,279,-95
6331947,1440,-16612,-636,-227,323,-108
6373612,1384,-16588,-576,-249,295,-99
6414235,1504,-16724,-616,-241,311,-102
6455900,1400,-16588,-652,-260,310,-91
6496524,1332,-16576,-608,-251,317,-85
6537147,1384,-16696,-676,-238,295,-123
6578812,1436,-16592,-556,-270,314,-97
6619435,1332,-16624,-592,-248,314,-81
6660059,1420,-16640,-512,-239,274,-103
6701724,1488,-16612,-572,-258,305,-94
6742373,1440,-16680,-668,-226,287,-92
6782971,1440,-16736,-768,-250,288,-114
6824636,1324,-16664,-672,-256,304,-114
6866301,1384,-16664,-628,-267,289,-113
6907966,1364,-16624,-572,-258,281,-110
6949631,1448,-16640,-592,-229,307,-83
6990254,1400,-16684,-688,-257,306,-93
7030877,1432,-16696,-564,-269,292,-107
7072542,1452,-16604,-544,-236,292,-103
7114207,1416,-16552,-652,-240,306,-107
7155872,1356,-16576,-600,-264,290,-93
7196496,1384,-16680,-732,-280,264,-112
7238161,1352,-16668,-572,-245,317,-107
7279826,1408,-16672,-700,-252,278,-93
7320449,1320,-16648,-776,-250,305,-102
7362114,1316,-16632,-732,-252,296,-103
7403779,1392,-16592,-660,-243,324,-119
7445444,1376,-16564,-668,-221,307,-115
7487109,1448,-16636,-504,-242,298,-89
7527753,1412,-16592,-688,-242,297,-86
7568356,1456,-16608,-636,-269,292,-94
7608979,1424,-16608,-512,-226,311,-75
7649603,1296,-16552,-684,-263,311,-95
7690226,1268,-16636,-628,-271,280,-105
7731891,1384,-16632,-716,-240,308,-106
7773556,1348,-16656,-712,-240,300,-75
7814180,1336,-16596,-616,-249,311,-115
7855844,1448,-16672,-684,-276,302,-111
7897509,1440,-16676,-632,-265,280,-83
7938133,1356,-16648,-584,-250,320,-81
7978777,1400,-16584,-612,-212,287,-99
8019379,1384,-16688,-584,-221,291,-80
8060003,1332,-16664,-700,-243,278,-97
8100626,1356,-16648,-432,-236,293,-82
8141250,1404,-16664,-680,-248,283,-85
8181873,1348,-16640,-540,-249,291,-105
8223538,1532,-16636,-492,-253,290,-90
8264161,1312,-16560,-632,-227,329,-87
8304792,1412,-16596,-452,-246,301,-104
8346497,1488,-16652,-536,-228,314,-89
8387073,1392,-16756,-676,-255,288,-91
8427697,1424,-16616,-628,-262,289,-104
8469361,1348,-16700,-664,-239,301,-83
8509985,1288,-16688,-668,-290,286,-88
8550608,1376,-16592,-612,-271,310,-99
8591232,1392,-16660,-620,-261,293,-93
8631855,1368,-16560,-576,-244,287,-105
8673520,1308,-16748,-624,-256,286,-106
8715185,1436,-16656,-592,-230,298,-91
8755816,1420,-16604,-696,-238,278,-89
8796432,1400,-16696,-672,-240,292,-84
8837055,1252,-16664,-728,-253,294,-112
8878720,1380,-16644,-524,-246,313,-101
8920385,1444,-16676,-704,-241,284,-122
8962050,1356,-16652,-556,-246,316,-92
9002673,1300,-16676,-688,-261,291,-117
9044339,1440,-16556,-512,-259,270,-84
9084962,1420,-16712,-560,-257,324,-86
9125585,1424,-16728,-664,-244,290,-98
9166216,1340,-16652,-628,-269,302,-92
9206832,1468,-16664,-692,-251,300,-122
9248497,1412,-16680,-800,-245,293,-117
9290162,1372,-16612,-728,-262,297,-106
9331827,1440,-16620,-652,-250,297,-85
9372450,1372,-16644,-608,-227,288,-90
9413074,1388,-16616,-556,-243,295,-98
9453697,1324,-16660,-672,-256,296,-97
9494321,1528,-16608,-568,-266,311,-107
9535985,1404,-16684,-632,-258,294,-82
9576609,1464,-16604,-644,-254,298,-92
9617239,1376,-16676,-588,-262,286,-107
9658904,1416,-16708,-536,-235,312,-116
9700583,1468,-16684,-764,-245,298,-96
9741186,1376,-16612,-616,-286,311,-103
9782851,1408,-16588,-632,-216,302,-121
9824515,1320,-16640,-708,-268,298,-95
9865139,1356,-16676,-604,-256,296,-111
9906804,1288,-16648,-592,-281,319,-105
9948469,1460,-16624,-684,-271,299,-102
9990134,1392,-16700,-744,-216,290,-120
10031799,1432,-16596,-580,-239,297,-110
10074506,1388,-16636,-608,-257,290,-110
10117212,1520,-16668,-572,-238,321,-114
10159919,1336,-16652,-660,-268,308,-97
10201584,1424,-16652,-580,-277,300,-116
10244291,1364,-16680,-576,-248,284,-103
10286997,1492,-16588,-612,-241,312,-105
10329704,1340,-16604,-684,-236,298,-88
10371369,1372,-16672,-692,-242,281,-106
10414075,1360,-16592,-668,-244,309,-71
10455741,1384,-16592,-624,-236,311,-100
10498447,1380,-16636,-620,-246,314,-92
10540112,1392,-16584,-556,-235,298,-88
10581777,1488,-16720,-712,-256,283,-97
10623442,1388,-16600,-584,-229,286,-98
10665107,1424,-16596,-672,-262,303,-104
10707814,1400,-16608,-832,-270,295,-93
10749479,1380,-16668,-636,-263,284,-92
10791144,1384,-16624,-612,-250,303,-74
10832809,1372,-16600,-620,-278,298,-126
10875515,1436,-16692,-524,-267,314,-116
10918225,1340,-16636,-584,-238,291,-103
10960929,1496,-16576,-608,-223,325,-98
11002593,1380,-16604,-604,-239,330,-94
11044258,1332,-16664,-768,-249,299,-82
11085924,1340,-16648,-780,-238,297,-94
11127588,1396,-16644,-824,-269,313,-77
11169253,1408,-16628,-700,-262,300,-94
11210919,1396,-16712,-568,-236,321,-91
11252584,1312,-16664,-668,-251,306,-87
11294249,1364,-16620,-516,-272,302,-105
11336955,1316,-16592,-676,-257,301,-111
11379662,1332,-16724,-624,-222,307,-91
11421327,1400,-16688,-588,-264,298,-127
11464033,1364,-16632,-724,-241,283,-104
11506740,1388,-16604,-564,-270,320,-98
11548405,1348,-16640,-636,-239,312,-109
11591112,1408,-16644,-556,-246,291,-108
11633818,1344,-16748,-600,-262,296,-112
11676525,1396,-16636,-652,-260,303,-116
11719232,1480,-16540,-656,-252,269,-89
11760896,1396,-16696,-556,-262,312,-91
11802562,1336,-16564,-632,-244,296,-82
11844226,1428,-16584,-600,-253,296,-97
11885892,1404,-16668,-500,-252,297,-76
11927557,1468,-16588,-732,-251,316,-125
11970263,1512,-16644,-704,-240,304,-89
12011928,1376,-16764,-588,-247,291,-80
12053593,1444,-16648,-652,-245,312,-107
12096300,1312,-16588,-684,-245,283,-111
12139006,1436,-16604,-552,-243,308,-79
12180671,1368,-16764,-552,-255,304,-60
12222336,1304,-16572,-472,-241,333,-97
12264001,1424,-16560,-544,-241,305,-86
12305666,1312,-16672,-656,-252,298,-77
12347331,1324,-16632,-700,-274,299,-105
12390038,1344,-16712,-520,-237,282,-85
12431703,1360,-16620,-644,-236,288,-103
12474409,1372,-16652,-540,-249,330,-102
12517116,1444,-16584,-664,-266,297,-88
12558781,1400,-16684,-604,-247,293,-108
12601488,1336,-16664,-672,-256,294,-102
12644195,1396,-16640,-472,-236,314,-93
12685860,1376,-16700,-600,-271,288,-111
12728566,1348,-16660,-600,-257,292,-103
12771273,1392,-16592,-688,-252,317,-105
12813979,1324,-16664,-504,-259,284,-102
12856686,1356,-16632,-620,-233,313,-124
12899393,1312,-16624,-644,-235,322,-102
12942099,1296,-16700,-676,-266,317,-111
12984806,1376,-16692,-440,-234,329,-94
13026471,1368,-16664,-736,-287,312,-111
13069178,1356,-16604,-764,-254,329,-99
13110842,1424,-16684,-676,-249,312,-106
13153549,1304,-16580,-616,-239,312,-101
13196256,1384,-16584,-636,-260,288,-109
13238962,1404,-16648,-464,-240,294,-99
13280627,1296,-16708,-540,-280,290,-84
13322293,1416,-16624,-596,-249,280,-96
13363958,1372,-16652,-560,-259,281,-114
13406664,1336,-16664,-680,-287,294,-103
13449371,1488,-16588,-792,-268,296,-112
13492077,1460,-16712,-692,-214,286,-88
13533742,1384,-16624,-688,-243,313,-93
13575407,1392,-16716,-640,-250,305,-107
13618117,1412,-16676,-632,-261,296,-100
13660821,1420,-16636,-712,-247,303,-100
13703527,1332,-16664,-640,-256,308,-99
13745192,1408,-16620,-616,-256,300,-97
13786857,1436,-16724,-660,-247,302,-95
13828522,1532,-16608,-644,-239,282,-102
13871229,1320,-16652,-676,-285,290,-106
13913935,1352,-16680,-520,-265,286,-91
13955600,1348,-16680,-712,-239,294,-127
13998307,1440,-16544,-408,-243,301,-100
14041014,1368,-16744,-740,-264,313,-103
14083720,1320,-16648,-704,-232,305,-104
14126427,1416,-16612,-732,-240,300,-85
14168095,1404,-16668,-524,-237,288,-92
14209757,1440,-16580,-504,-257,299,-77
14251422,1332,-16624,-684,-241,301,-85
14293090,1448,-16620,-728,-242,296,-128
14335793,1456,-16560,-596,-255,290,-79
14377458,1412,-16656,-568,-248,290,-90
14419123,1364,-16668,-460,-243,282,-104
14461830,1408,-16604,-624,-263,292,-103
14504537,1344,-16680,-588,-284,288,-115
14547243,1444,-16664,-588,-258,314,-110
14589950,1384,-16576,-904,-213,315,-88
14631615,1292,-16568,-668,-266,290,-99
14673280,1404,-16632,-736,-253,315,-103
14715986,1356,-16664,-760,-251,297,-103
14758694,1416,-16560,-776,-249,304,-105
14801400,1320,-16584,-644,-229,296,-119
14844107,1408,-16668,-532,-262,318,-89
14885771,1516,-16624,-520,-272,322,-91
14927436,1340,-16636,-764,-243,301,-111
14970143,1384,-16660,-616,-236,295,-109
15012850,1404,-16680,-592,-271,310,-93
15054515,1356,-16748,-572,-245,276,-108
15097221,1380,-16608,-564,-245,321,-103
15139928,1356,-16604,-624,-268,294,-129
15182635,1456,-16648,-472,-271,306,-106
15225341,1336,-16632,-612,-253,313,-84
15267006,1452,-16652,-692,-237,288,-87
15308671,1424,-16632,-748,-224,287,-81
15350336,1336,-16644,-660,-250,305,-69
