Micros,AcX, AcY, AcZ, GyX, GyY, GyZ
8954783,17108,1080,-548,-242,269,-118
8995400,17224,1084,-580,-242,302,-82
9034981,17144,1044,-640,-251,306,-72
9074563,17236,1100,-544,-227,316,-123
9115187,17156,1120,-580,-247,317,-98
9154776,17060,1144,-692,-259,310,-84
9194350,17116,1084,-608,-226,304,-93
9233932,17080,980,-488,-260,282,-105
9273514,17172,1128,-648,-233,304,-87
9313095,17140,1008,-652,-239,308,-77
9352677,17192,1092,-436,-256,287,-83
9392259,17088,1108,-620,-253,279,-96
9431841,17184,1056,-556,-257,292,-108
9472464,17120,1128,-464,-255,283,-83
9512053,17060,1056,-624,-244,313,-94
9551628,17096,1128,-596,-255,297,-81
9591213,17072,1164,-476,-243,295,-113
9631833,17204,1032,-568,-246,318,-109
9672456,17192,1104,-516,-239,293,-86
9712045,17100,996,-664,-235,313,-67
9750578,17092,1072,-636,-226,291,-93
9790160,17092,1020,-520,-258,307,-90
9829741,17248,1092,-712,-233,278,-107
9870365,17144,1064,-604,-267,308,-102
9911013,17216,1148,-616,-249,296,-118
9951612,17176,1140,-656,-241,291,-92
9991193,17152,1096,-692,-253,306,-78
10030775,17136,1140,-640,-249,303,-81
10071398,17172,1116,-584,-233,327,-85
10112022,17140,1140,-656,-276,292,-106
10153687,17060,1212,-688,-257,305,-96
10194331,17144,1056,-592,-232,304,-93
10234933,17108,1092,-592,-259,321,-84
10275557,17132,1084,-656,-256,293,-114
10317225,17044,1128,-548,-260,315,-93
10357845,17168,1100,-528,-259,294,-100
10399510,17148,1008,-548,-251,307,-112
10441175,17124,1128,-568,-228,290,-100
10482840,17096,1020,-600,-229,315,-84
10523464,17040,1072,-476,-251,320,-100
10565129,17116,1136,-540,-246,285,-89
10605752,17104,1192,-604,-240,291,-98
10646375,17080,1100,-508,-222,312,-91
10687006,17008,1052,-456,-234,290,-92
10727622,17156,1052,-516,-264,305,-96
10768245,17096,1040,-544,-247,280,-102
10809911,17072,1148,-568,-252,298,-92
10850537,17260,1040,-520,-245,295,-101
10892202,17124,992,-532,-265,316,-110
10932822,17084,1148,-500,-258,293,-80
10973446,17116,1132,-464,-264,296,-119
11015111,17072,1200,-624,-244,284,-113
11056776,17060,1012,-772,-254,309,-83
11097399,17156,1100,-440,-239,295,-81
11138029,17124,1104,-556,-232,301,-98
11178646,17172,1104,-652,-243,304,-72
11219269,17176,1152,-496,-239,291,-109
11260934,17108,1108,-512,-258,307,-101
11302599,17220,988,-460,-248,306,-116
11343222,17108,1316,-496,-246,300,-107
11384887,17132,1132,-632,-241,302,-97
11425511,17152,1048,-572,-236,287,-115
11467179,17132,996,-428,-258,307,-98
11506758,17124,1124,-528,-250,305,-114
11548423,17196,1140,-536,-243,311,-96
11589046,17136,1064,-436,-243,311,-99
11629676,17148,1124,-660,-244,292,-96
11670293,17152,1148,-584,-259,291,-99
11710916,17088,1096,-608,-251,291,-108
11752581,17144,1044,-608,-245,326,-119
11794246,17076,1108,-612,-233,318,-103
11835911,17116,1080,-588,-242,297,-97
11876535,17136,1160,-568,-257,313,-98
11917161,17124,1180,-568,-254,317,-81
11957781,17036,1080,-568,-259,314,-113
11999446,17192,1020,-544,-270,297,-89
12040070,17136,1156,-668,-234,307,-91
12080693,17168,1116,-712,-254,320,-96
12121337,17116,944,-568,-253,301,-88
12160898,17072,1132,-440,-253,297,-102
12202563,17052,1124,-572,-272,312,-112
12244228,17068,1084,-688,-244,312,-88
12284851,17216,1020,-552,-246,278,-82
12325475,17168,1168,-656,-243,304,-95
12366098,17096,1104,-504,-244,305,-90
12406722,17112,1160,-620,-268,294,-100
12448387,17176,1084,-472,-237,283,-81
12489010,17156,1080,-552,-247,301,-86
12529659,17092,1028,-580,-269,290,-87
12570257,17092,1108,-688,-246,290,-94
12610880,17148,1088,-628,-240,339,-82
12651504,17156,1068,-656,-250,309,-96
12692131,17252,1092,-464,-263,308,-88
12732750,17228,1080,-688,-234,302,-82
12773373,17076,968,-604,-236,304,-67
12812962,17168,1104,-656,-245,296,-105
12854628,17172,1088,-556,-236,299,-99
12895244,17168,1192,-584,-256,292,-104
12936909,17080,1044,-556,-247,277,-109
12978574,17184,1076,-556,-237,286,-98
13019197,17060,1140,-556,-265,302,-106
13060862,17128,1076,-508,-265,290,-104
13102527,17104,1100,-628,-251,282,-83
13143150,17080,1080,-480,-236,308,-97
13183774,17148,1040,-688,-262,289,-89
13224398,17144,1044,-584,-275,293,-77
13265021,17020,1072,-592,-235,314,-120
13306686,17080,1100,-640,-233,285,-91
13347309,17168,1116,-624,-257,293,-101
13388974,17140,1116,-592,-258,287,-100
13430639,17208,1068,-724,-265,302,-76
13471297,17108,1016,-612,-219,324,-91
13511886,17116,1000,-576,-258,295,-99
13552509,17060,1204,-568,-250,318,-95
13593133,17096,1140,-556,-239,308,-99
13633756,17152,1080,-624,-253,304,-67
13674379,17060,1036,-540,-254,289,-92
13715003,17216,1024,-640,-256,303,-104
13756668,17116,1084,-620,-239,290,-92
13797291,17168,1140,-492,-256,307,-99
13837921,17248,1156,-660,-238,292,-107
13879586,17180,1140,-536,-273,315,-80
13920203,17148,1136,-512,-231,319,-96
13960826,17236,1088,-516,-260,292,-95
14001449,17052,1160,-644,-248,317,-94
14042077,17152,1100,-584,-265,297,-88
14082696,17096,1092,-560,-261,296,-107
14124362,17212,1008,-592,-264,302,-108
14166026,17008,1084,-588,-246,305,-92
14206650,17124,1156,-608,-248,304,-80
14247273,17092,1040,-620,-258,306,-95
14287903,17184,1028,-676,-237,317,-106
14329568,17072,1068,-588,-245,296,-93
14370185,17208,1108,-528,-229,267,-97
14410808,17188,1164,-628,-263,298,-97
14451432,17136,1112,-524,-250,280,-87
14492058,17260,1092,-628,-229,307,-100
14533720,17184,1092,-548,-245,313,-93
14574343,17156,1016,-608,-243,300,-91
14614967,17096,956,-612,-248,314,-86
14654549,17088,1116,-640,-237,290,-106
14696213,17228,1060,-516,-253,314,-112
14737878,17088,1196,-488,-255,307,-97
14778502,17072,1088,-636,-221,303,-94
14819125,17072,1144,-636,-255,311,-90
14859749,17228,1172,-688,-241,313,-86
14900372,17116,1020,-540,-248,304,-100
14942040,17120,1176,-648,-258,294,-92
14982660,17080,1160,-568,-228,309,-103
