Micros,AcX, AcY, AcZ, GyX, GyY, GyZ
3070548,860,-180,-17928,-241,303,-90
3072916,884,-264,-17904,-242,296,-75
3075146,884,-256,-18028,-254,298,-87
3094422,744,-244,-17936,-273,298,-68
3134008,864,-232,-17924,-247,307,-79
3173590,840,-168,-17908,-237,297,-86
3213171,944,-284,-17864,-246,316,-57
3252753,872,-164,-17972,-234,299,-83
3292335,836,-184,-17956,-233,303,-83
3331917,824,-160,-17896,-234,286,-99
3371498,948,-244,-17980,-258,298,-86
3411080,884,-208,-18008,-268,317,-85
3450662,872,-248,-18060,-235,296,-79
3490244,964,-236,-18016,-239,303,-87
3529825,928,-220,-17884,-230,289,-83
3569407,916,-232,-17976,-247,288,-71
3608989,904,-192,-17980,-264,284,-80
3648571,804,-268,-17932,-257,308,-65
3688152,832,-180,-18076,-251,313,-66
3727734,820,-160,-17844,-257,310,-57
3767316,780,-200,-17936,-248,295,-102
3807964,960,-152,-18084,-234,311,-76
3847521,864,-368,-17944,-249,310,-72
3887103,904,-212,-17984,-254,297,-88
3926685,896,-212,-17768,-265,287,-79
3966266,836,-168,-17876,-247,310,-64
4005848,888,-172,-17948,-261,310,-92
4045430,784,-268,-17968,-240,283,-77
4085011,848,-176,-17852,-247,314,-81
4124593,916,-260,-17944,-242,290,-76
4164175,916,-228,-17900,-249,291,-85
4203757,928,-268,-17948,-235,314,-80
4243339,872,-232,-18052,-246,294,-72
4282920,856,-224,-17936,-246,314,-57
4322502,928,-180,-17836,-259,289,-99
4362084,856,-220,-17960,-265,305,-94
4401666,920,-208,-17812,-254,310,-80
4441247,792,-252,-17936,-254,299,-82
4480829,860,-268,-17992,-228,311,-64
4520411,832,-228,-17960,-241,304,-79
4559992,776,-268,-18072,-264,314,-69
4599574,812,-184,-17828,-255,301,-80
4639156,900,-116,-17968,-239,291,-69
4678738,852,-236,-18008,-267,304,-79
4718320,860,-212,-17864,-246,307,-72
4757901,976,-320,-17892,-249,317,-62
4797483,788,-260,-17936,-238,307,-71
4837065,848,-172,-17976,-250,313,-80
4876647,916,-232,-18064,-251,300,-94
4916228,932,-240,-17992,-255,292,-70
4955810,888,-256,-17996,-245,283,-81
4995392,912,-300,-17796,-241,300,-88
5034974,944,-252,-18000,-262,304,-67
5074555,852,-208,-17972,-241,301,-64
5114137,928,-140,-18028,-264,302,-86
5153719,796,-136,-17932,-250,292,-86
5193301,900,-216,-17976,-250,295,-72
5232882,932,-208,-18052,-259,295,-72
5272464,836,-236,-17976,-239,320,-91
5312046,924,-220,-17928,-249,303,-60
5351628,864,-296,-17920,-235,298,-87
5391209,860,-136,-17892,-238,336,-64
5430791,948,-228,-17940,-277,300,-71
5470373,892,-96,-17856,-240,295,-78
5508913,964,-116,-17924,-255,288,-87
5548494,884,-232,-18024,-246,295,-83
5588076,900,-320,-17904,-242,297,-89
5627658,896,-220,-17996,-241,298,-64
5667240,868,-188,-17768,-255,300,-100
5707889,856,-220,-17988,-275,300,-86
5747445,912,-212,-18052,-270,290,-93
5787027,868,-140,-17908,-254,292,-89
5826609,928,-232,-18000,-264,303,-64
5866190,868,-204,-17784,-240,322,-89
5905772,868,-152,-17944,-250,291,-76
5945354,936,-184,-18072,-247,306,-94
5984936,840,-252,-17868,-250,306,-65
6024517,880,-208,-18008,-214,308,-72
6064099,884,-188,-18068,-245,306,-86
6103681,952,-260,-17952,-263,288,-75
6143262,920,-268,-17940,-253,283,-81
6182844,920,-176,-17864,-260,291,-70
6222426,940,-228,-17980,-256,279,-88
6262008,864,-248,-18068,-257,264,-72
6301589,880,-180,-18004,-240,308,-73
6341171,872,-244,-17972,-247,292,-87
6380753,868,-260,-17844,-239,308,-76
6420335,876,-96,-17856,-257,308,-77
6458875,904,-200,-17860,-256,290,-73
6498457,928,-140,-17900,-249,311,-76
6538038,896,-152,-18008,-253,302,-81
6577620,848,-160,-17888,-283,304,-80
6617202,964,-140,-17888,-276,292,-82
6656784,896,-188,-17716,-241,307,-81
6696365,988,-144,-18072,-247,303,-74
6735947,928,-316,-17872,-272,311,-80
6775529,908,-320,-17952,-252,277,-56
6815111,876,-176,-17952,-247,296,-80
6854692,928,-220,-17888,-252,285,-80
6894274,904,-268,-17848,-251,314,-80
6933856,872,-232,-17856,-265,318,-68
6973438,904,-188,-17948,-236,300,-69
7013019,828,-212,-17768,-243,297,-65
7052601,944,-296,-17908,-233,311,-81
7092183,828,-168,-17864,-248,323,-69
7131765,852,-132,-17828,-259,320,-73
7171347,848,-176,-17788,-249,285,-84
7210928,856,-228,-17912,-261,287,-83
7250510,792,-236,-17856,-230,313,-68
7290092,816,-144,-18024,-248,303,-75
7329673,856,-280,-17980,-253,294,-67
7369255,920,-300,-17876,-243,298,-79
7408837,912,-120,-17848,-264,317,-93
7448419,896,-208,-17972,-276,324,-92
7488000,952,-204,-17868,-272,295,-76
7527582,792,-180,-17912,-228,291,-66
7567164,844,-208,-17972,-247,304,-72
7606745,884,-156,-17940,-236,308,-81
7646327,880,-264,-17880,-249,315,-87
7685909,808,-160,-17972,-243,286,-55
7725491,856,-188,-17968,-255,297,-75
7765073,900,-228,-17992,-231,308,-86
7804654,928,-312,-17984,-258,288,-90
7844236,844,-204,-17976,-227,315,-83
7883818,868,-224,-17912,-253,309,-83
7923400,792,-144,-17912,-263,289,-82
7962981,864,-132,-18036,-231,278,-90
8002563,900,-264,-18076,-248,305,-64
8042145,960,-280,-17940,-249,321,-64
8081727,928,-200,-17980,-246,304,-67
8121308,892,-172,-17852,-254,305,-88
8160890,876,-136,-17888,-251,283,-77
8200472,816,-208,-18096,-264,302,-79
8240053,820,-248,-17848,-266,291,-64
8279635,928,-132,-17912,-238,320,-88
8319217,864,-224,-17872,-262,312,-94
8358799,796,-328,-17924,-219,308,-56
8398381,780,-68,-17964,-257,306,-107
8437962,860,-184,-17936,-250,297,-106
8478586,900,-208,-18104,-246,300,-82
8518167,928,-272,-17964,-257,317,-80
8557749,868,-164,-17952,-272,307,-61
8597331,928,-212,-18096,-252,283,-65
8636913,824,-112,-17988,-252,284,-76
8676494,868,-172,-18060,-243,307,-94
8716076,904,-236,-17936,-240,322,-72
8755658,936,-220,-17912,-239,286,-62
8795240,860,-264,-17800,-255,298,-79
8834822,836,-224,-17996,-233,323,-69
8874403,816,-248,-17880,-240,313,-82
8913985,872,-192,-17920,-256,323,-79
8953567,912,-252,-17668,-226,283,-70
8993149,928,-120,-17972,-248,298,-69
9032730,880,-268,-17984,-229,305,-84
9072312,968,-272,-18112,-234,302,-83
9111894,800,-188,-17904,-258,285,-67
9151475,952,-188,-18012,-252,308,-73
9191057,896,-92,-17852,-261,310,-65
9229598,972,-200,-17928,-240,284,-88
9269179,928,-228,-17920,-244,304,-71
9308761,944,-128,-18100,-227,310,-86
9348343,876,-272,-17968,-236,306,-70
9387924,932,-228,-17904,-261,292,-74
9427506,928,-188,-17992,-253,287,-67
9467088,908,-208,-17972,-239,296,-59
9506670,840,-284,-17964,-231,303,-68
9546252,880,-200,-18004,-258,309,-96
9585833,920,-288,-18064,-267,294,-58
9625415,860,-224,-17944,-260,301,-75
9664997,796,-192,-17912,-275,298,-68
9704578,864,-228,-18076,-251,299,-65
9744160,860,-176,-17948,-235,294,-71
9783742,860,-132,-17976,-246,295,-66
9823323,932,-200,-18000,-248,280,-61
9862906,752,-180,-17992,-244,295,-86
9902487,916,-180,-17836,-252,309,-73
9942069,916,-272,-17904,-259,319,-75
9981651,868,-224,-18016,-247,309,-85
10021232,904,-236,-17864,-229,290,-101
10062898,864,-316,-17840,-253,289,-91
10103521,900,-176,-17852,-253,284,-88
10144144,916,-164,-17912,-241,297,-61
10184767,912,-240,-17968,-236,292,-85
10225391,860,-272,-17912,-227,296,-74
10266014,856,-192,-17828,-269,306,-80
10306638,836,-144,-18004,-252,311,-70
10347261,848,-180,-17964,-259,316,-75
10387884,768,-112,-17988,-263,303,-99
10428508,924,-256,-17900,-256,296,-78
10469131,992,-152,-18000,-260,317,-70
10509755,880,-228,-17924,-237,292,-82
10550378,908,-228,-17908,-237,289,-86
10591001,948,-224,-17916,-260,291,-73
10631625,932,-272,-17904,-238,298,-82
10672248,1016,-304,-18060,-252,284,-80
10713913,928,-256,-17844,-229,294,-82
10754536,944,-272,-17868,-272,310,-84
10795160,812,-240,-17812,-250,315,-88
10835783,892,-236,-17844,-258,295,-65
10876407,872,-264,-17924,-241,291,-69
10917030,824,-272,-17972,-232,314,-90
10957653,844,-188,-17888,-229,305,-80
10998276,820,-200,-17820,-257,301,-86
11038900,852,-168,-17964,-250,292,-97
11079523,876,-144,-18064,-251,310,-81
11120147,900,-212,-17996,-244,310,-82
11160770,908,-240,-17924,-245,286,-54
11201394,860,-224,-17820,-242,287,-84
11242017,956,-240,-17872,-244,306,-90
11282640,908,-84,-17908,-278,300,-70
11322222,788,-188,-17924,-251,301,-83
11362845,792,-156,-17968,-258,301,-80
11403469,888,-380,-17944,-246,285,-83
11444092,832,-272,-17936,-255,292,-89
11484716,872,-292,-17964,-267,285,-73
11525339,868,-260,-18092,-257,311,-69
11565962,920,-88,-17900,-251,305,-89
11605544,868,-208,-18064,-231,292,-90
11646167,904,-272,-17868,-224,285,-99
11686791,908,-208,-17932,-261,306,-64
11727414,948,-216,-17948,-251,309,-75
11768041,860,-280,-17884,-247,291,-75
11808661,860,-228,-18000,-250,316,-77
11849284,896,-260,-17948,-255,306,-83
11889908,852,-236,-17960,-251,313,-84
11930531,792,-156,-17992,-242,282,-85
11971154,856,-168,-18152,-247,289,-85
12011778,956,-208,-17888,-246,301,-79
12052401,912,-192,-17856,-263,322,-72
12093028,920,-176,-17884,-252,306,-70
12133648,980,-188,-17876,-256,300,-76
12174271,832,-292,-17896,-236,283,-93
12214895,928,-288,-18096,-221,304,-86
12255518,864,-264,-17868,-256,283,-86
12296141,820,-204,-17984,-264,297,-102
12337813,880,-180,-17960,-254,299,-69
12378430,1024,-164,-17936,-244,299,-86
12420095,884,-156,-18040,-255,290,-87
