Micros,AcX, AcY, AcZ, GyX, GyY, GyZ
12460718,920,-232,-17880,-258,299,-87
12501341,860,-200,-17944,-257,309,-79
12541965,896,-220,-17996,-248,317,-67
12582588,888,-220,-17980,-259,289,-84
12623212,820,-152,-18068,-252,315,-79
12663835,828,-236,-18044,-244,290,-76
12704458,796,-244,-18040,-229,281,-73
12745082,920,-280,-17980,-241,315,-75
12785705,992,-124,-17932,-263,318,-70
12826329,960,-180,-17868,-250,318,-84
12866952,856,-224,-17816,-257,311,-79
12907575,864,-248,-18004,-243,285,-72
12948199,932,-220,-17972,-238,315,-61
12988822,836,-160,-18016,-228,305,-99
13029445,864,-132,-17904,-253,311,-68
13070069,904,-60,-17980,-254,297,-68
13109650,876,-140,-17772,-243,298,-72
13150274,912,-168,-17804,-234,297,-69
13190897,908,-144,-17960,-260,313,-82
13231520,948,-240,-17988,-258,310,-85
13272144,824,-208,-17928,-249,313,-107
13313809,924,-128,-17912,-292,313,-72
13354432,940,-252,-17904,-248,302,-100
13396118,868,-184,-17996,-241,310,-97
13436721,844,-280,-17808,-256,303,-102
13478386,904,-240,-17864,-261,277,-79
13519009,836,-156,-18104,-248,319,-72
13559632,832,-52,-17816,-240,290,-78
13599214,800,-208,-17972,-259,297,-79
13639838,928,-132,-17948,-237,295,-82
13680461,868,-176,-17888,-256,288,-84
13721084,856,-252,-17908,-250,280,-77
13761708,868,-204,-17820,-245,303,-66
13802331,908,-180,-17904,-256,300,-86
13842958,788,-220,-17928,-253,289,-96
13883578,868,-236,-17924,-253,308,-73
13924201,944,-180,-17920,-248,310,-60
13964825,912,-220,-17980,-242,291,-78
14005448,892,-188,-17812,-237,317,-54
14046071,880,-220,-17872,-250,300,-88
14086695,968,-180,-17952,-250,318,-56
14127318,856,-264,-17916,-259,306,-67
14167942,824,-128,-17896,-239,302,-94
14208565,900,-240,-17920,-244,310,-96
14249188,812,-144,-17964,-252,284,-89
14289812,848,-260,-18000,-250,310,-68
14330435,836,-140,-17932,-277,280,-72
14371059,912,-252,-17944,-253,327,-103
14412730,944,-132,-17996,-250,303,-67
14453347,832,-120,-17828,-240,302,-67
14493970,844,-112,-17936,-251,301,-60
14534594,836,-248,-17964,-258,297,-87
14575217,832,-176,-17904,-263,318,-66
14615840,864,-288,-18016,-241,288,-66
14656464,832,-184,-17968,-237,292,-66
14697087,880,-232,-17904,-266,282,-78
14737710,920,-236,-17952,-245,304,-69
14778334,856,-272,-17896,-240,290,-72
14818957,892,-248,-17936,-231,290,-85
14859580,880,-232,-17892,-238,295,-83
14900204,896,-204,-17968,-268,306,-74
14940827,784,-152,-17964,-242,295,-85
